"record_num","id","latitude","longitude","label","updated_at","occupancy_status","direction_id","current_stop_sequence"
7696,"y1786",42.33792003,-71.07883734,"1786","2023-06-14T19:59:31-04:00","MANY_SEATS_AVAILABLE",1,17
7697,"y1783",42.36429465,-71.10169006,"1783","2023-06-14T19:59:36-04:00","",0,18
7698,"y1778",42.34702,-71.08773,"1778","2023-06-14T19:59:30-04:00","MANY_SEATS_AVAILABLE",1,12
7699,"y1863",42.35942051,-71.09381703,"1863","2023-06-14T19:59:54-04:00","FEW_SEATS_AVAILABLE",0,15
7700,"y1817",42.36313007,-71.09988136,"1817","2023-06-14T19:59:43-04:00","MANY_SEATS_AVAILABLE",1,8
7701,"y1786",42.3379273,-71.07883509,"1786","2023-06-14T19:59:52-04:00","MANY_SEATS_AVAILABLE",1,17
7702,"y1783",42.36463059,-71.10231438,"1783","2023-06-14T19:59:52-04:00","",0,18
7703,"y1778",42.34702,-71.08773,"1778","2023-06-14T19:59:30-04:00","MANY_SEATS_AVAILABLE",1,12
7704,"y1863",42.3594412,-71.09378973,"1863","2023-06-14T19:59:57-04:00","FEW_SEATS_AVAILABLE",0,15
7705,"y1817",42.36313007,-71.09988136,"1817","2023-06-14T19:59:43-04:00","MANY_SEATS_AVAILABLE",1,8
7706,"y1786",42.3379273,-71.07883509,"1786","2023-06-14T19:59:52-04:00","MANY_SEATS_AVAILABLE",1,17
7707,"y1783",42.36463059,-71.10231438,"1783","2023-06-14T19:59:52-04:00","",0,18
7708,"y1778",42.34702,-71.08773,"1778","2023-06-14T19:59:30-04:00","MANY_SEATS_AVAILABLE",1,12
7709,"y1863",42.3593745,-71.09384661,"1863","2023-06-14T20:00:06-04:00","FEW_SEATS_AVAILABLE",0,15
7710,"y1817",42.36313007,-71.09988136,"1817","2023-06-14T19:59:43-04:00","MANY_SEATS_AVAILABLE",1,8
